Molecule ChEMBL ID,Standard Type,Standard_Value,Standard Units,canon_smiles
CHEMBL3924596,Ki,0.01,nM,CN(C)CC(=O)N1CCOC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])C1
CHEMBL3928486,Ki,0.01,nM,O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(CC3=C(c4ccc(Cl)cc4)CCC4(CCN(C(CF)CF)CC4)C3)CC2)cc1Oc1cnc2[nH]ccc2c1
CHEMBL3980718,Ki,0.01,nM,CC(C)N1CCC2(CCC(c3ccc(Cl)cc3)=C(CN3CCN(c4ccc(C(=O)NS(=O)(=O)c5cnc(OCC6CCOCC6)c(Cl)c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)CC1
CHEMBL3966699,Ki,0.145,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OCC5CCN(CC(F)F)C5)c(Cl)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL3978206,Ki,0.09300000000000001,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OCC5CCOCC5)c(F)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL3918831,Ki,0.01,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OCC5CCC(O)CC5)c(Cl)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL3925824,Ki,0.01,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCCCN(C5CC5)C5COC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL3918033,Ki,0.01,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CN(S(C)(=O)=O)CCO5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL3929370,Ki,0.01,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CN(C6CC6)CCO5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL3987176,Ki,0.511,nM,CCN(C)C(=O)N1CCOC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cnc4[nH]ccc4c3)cc2Cl)C1
CHEMBL3944513,Ki,0.198,nM,CCN(C)C(=O)N1CCOC(CNc2ncc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cnc4[nH]ccc4c3)cc2Cl)C1
CHEMBL3921098,Ki,0.01,nM,CC1(O)CCC(COc2ncc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC6(CC5)CC6)CC4)cc3Oc3cnc4[nH]ccc4c3)cc2Cl)CC1
CHEMBL3901940,Ki,0.01,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OCC5CCC(C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL3978223,Ki,0.013999999999999999,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OCC5(F)CCC(C)(O)CC5)c(Cl)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL3927433,Ki,0.01,nM,COCC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1
CHEMBL3972476,Ki,0.017,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OCC5(F)CCC(N(CCC#N)C6CC6)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL4159296,Ki,23000.0,nM,COC(=O)c1ccc(C(Cl)=CC2C=C(C)CC3CC(CCO)C=CC23C(=O)OC)cc1
CHEMBL4167274,Ki,23000.0,nM,COC(=O)c1ccc(C(Cl)=CC2C=C(C)CC3CC(CC(=O)NCCc4ccc(Cl)cc4)C=CC23C(=O)OC)cc1
CHEMBL2030270,Ki,54650.0,nM,O=C(O)CSc1cc(NS(=O)(=O)c2cccs2)c2ccccc2c1O
CHEMBL264581,AC3,5.7,uM,COC(=O)NC1C(C)OC(OC2CC=C(C)C3C=CC4C(OC5(C)OC6OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C6O5)C(C)CC(C)C4C3(C)C(O)=C3C(=O)OC4(CC(C=O)=CC(OC(C)=O)C4C=C2C)C3=O)CC1(C)[N+](=O)[O-]
CHEMBL268594,AC3,10.0,uM,COC(=O)NC1C(C)OC(OC2CC=C(C)C3C=CC4C(O[Si](C)(C)C(C)(C)C)C(C)CC(C)C4C3(C)C(O)=C3C(=O)OC4(CC(C=O)=CC(O[Si](C)(C)C(C)(C)C)C4C=C2C)C3=O)CC1(C)[N+](=O)[O-]
CHEMBL243411,Ki,1000000.0,nM,C=CCOC(=O)C(Cc1ccccc1)N1C(=O)C(=Cc2ccc(Br)cc2)SC1=S
CHEMBL242126,Ki,13500.0,nM,CCCC(=C1SC(=S)N(C(CC(C)C)C(=O)O)C1=O)c1ccccc1
CHEMBL374303,Ki,0.7,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccccc4Cl)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL376408,EC50,220.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL376696,Ki,9.6,nM,CC1OC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC(CCN(C)C)CSc5ccccc5)c([N+](=O)[O-])c4)cc3)CC2)N(Cc2ccccc2)C1=O
CHEMBL385104,EC50,50000.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(C(=O)c4ccccc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL221218,EC50,1000.0,nM,COC1(CC(C)(C)C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL2031003,IC50,430.0,nM,CCCCN(CCCC)c1nccc(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2Cc3ccccc3CC2CN)n1
CHEMBL2031018,IC50,37.0,nM,CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccc(I)cc4c3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl
CHEMBL2031025,IC50,22.0,nM,CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2Cc3ccccc3CC2COCCCOC)c(C)c1Cl
CHEMBL2031031,IC50,120.0,nM,CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2COc3ccccc3C2)c(C)c1Cl
CHEMBL2030854,IC50,45.0,nM,CCCCOc1ccc(-n2nc(CO)c(-c3ccc(C(=O)NS(=O)(=O)c4ccc5ccccc5c4)cc3C(=O)N3CCc4ccccc4C3)c2CCCC)cc1
CHEMBL220055,Ki,3100.0,nM,CC(C)c1cc(C(=O)N2CCc3ccccc3C2)c(O)c(O)c1O
CHEMBL53463,GI50,26000.0,nM,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1
CHEMBL425792,GI50,5700.0,nM,CCCc1ccc2c(c1)C(C(C#N)C(=O)OCC)C(C(=O)OCC)=C(N)O2
CHEMBL3426323,Ki,16000.0,nM,O=C(O)c1c(CCCOc2cccc3ccccc23)c2cccc3c2n1CCC[S+]3[O-]
CHEMBL3426325,Ki,3700.0,nM,O=C(O)c1c(CCCOc2cccc3c2CCCC3)c2cccc3c2n1CCS3
CHEMBL3426329,Ki,2300.0,nM,Cc1cc(OCCCc2c(C(=O)O)n3c4c(cccc24)SCC3)cc(C)c1Cl
CHEMBL374941,Ki,68.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4cccnc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL373577,EC50,700.0,nM,COC1(CC(C)C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL426535,Ki,1.0,nM,COC1(Cc2ccccc2Cl)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL385104,Ki,61.9,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(C(=O)c4ccccc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL426558,EC50,200.0,nM,COC1(Cc2ccccc2Br)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL502211,Ki,2500.0,nM,O=C(NCCN1CCCCC1)C1C(CO)C2Cn3c(cccc3=O)C1N2c1nc(-c2ccc(Cl)cc2)c(-c2ccccc2)s1
CHEMBL510860,EC50,8018.0,nM,CCC(C)C(NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)CN)C(C)C)C(=O)NC(C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccc([N+](=O)[O-])cc1)C(=O)NC(CC(N)=O)C(=O)NC(CCCNC(=N)N)C(=O)O)C(C)CC
CHEMBL2170838,Ki,0.8,nM,Cc1c(C(=O)O)c(-c2cccc(N3CCN(c4ccc(NS(=O)(=O)c5ccc(NC(CCN6CCC(O)CC6)CSc6ccccc6)c(S(=O)(=O)C(F)(F)F)c5)cc4)CC3)c2)c(-c2ccc(Cl)cc2)n1C(C)C
CHEMBL2169898,Ki,207.0,nM,COc1cccc(S(=O)(=O)Nc2ccc(N3CCN(c4cccc(-c5c(C(=O)NCCCN6CCN(C)CC6)c(C)n(C)c5-c5ccc(Cl)cc5)c4)CC3)cc2)c1
CHEMBL2171011,IC50,1624.0,nM,CCOc1cccc(S(=O)(=O)Nc2ccc(N3CCN(c4cccc(-c5c(C(=O)NCCCN6CCN(C)CC6)c(C)n(C)c5-c5ccc(Cl)cc5)c4)CC3)cc2)c1
CHEMBL1940662,Ki,3780.0,nM,CC(=O)NC(CC(C)C)C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1
CHEMBL1940667,Ki,9490.0,nM,CC(=O)NC(C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1)C(C)C
CHEMBL439187,AC3,10.0,uM,COC(=O)NC1C(C)OC(OC2CC=C(C)C3C=CC4C(OC5C=CC(O)C(C)O5)C(C)CC(C)C4C3(C)C(O)=C3C(=O)OC4(CC(C=O)=CC(OC(C)=O)C4C=C2C)C3=O)CC1(C)[N+](=O)[O-]
CHEMBL376055,IC50,330.0,nM,CN(CCCc1ccccc1)S(=O)(=O)c1cc(C(=O)N2CCc3ccc(S(=O)(=O)NCCc4ccccc4)cc3C2)c(O)c(O)c1O
CHEMBL219775,IC50,6600.0,nM,CC(C)c1cc(C(=O)N2CCc3ccc(S(=O)(=O)NCCc4ccccc4)cc3C2)c(O)c(O)c1O
CHEMBL4247157,Ki,1100.0,nM,Cc1ccc(CC(=O)NC(Cc2ccc(OCc3ccc(-c4ccccc4)cc3)cc2)C(=O)NS(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1
CHEMBL2063892,Ki,0.6,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(N3CCN(c4cccc(-c5c(-c6ccc(Cl)cc6)cn(C)c5C(=O)NCCCN5CCN(C)CC5)c4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL4211496,IC50,57.9,nM,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCc3sc(C(=O)NS(=O)(=O)c4ccc(NC(CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3C2)C1
CHEMBL376408,Ki,1.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL3417405,Ki,100000.0,nM,CCOc1ccccc1NN=C1C(=O)N(c2cc(O)cc(-c3cccs3)c2)N=C1C
CHEMBL4452148,Ki,36000.0,nM,CCc1sc2ncnc(OC(Cc3ccccc3)C(=O)O)c2c1-c1cccc(Cl)c1C
CHEMBL4455792,Ki,770.0,nM,Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)c(Cl)ccc24)C(C)CN(c2cc(C(=O)O)c4ccn(C)c4c2)C3=O)cc(C)c1Cl
CHEMBL4169123,Ki,830.0,nM,CC1=CC(C=C(Cl)c2ccc(C(=O)O)cc2)C2(C(=O)O)C=CC(CCOC(=O)Nc3ccc(Br)cc3)CC2C1
CHEMBL4171694,Ki,23000.0,nM,COC(=O)c1ccc(C(Cl)=CC2C=C(C)CC3CC(CC(=O)NCc4ccc(Cl)cc4)C=CC23C(=O)OC)cc1
CHEMBL4163814,Ki,23000.0,nM,CC(=O)OCOC(=O)c1ccc(C(Cl)=CC2C=C(C)CC3CC(CCO)C=CC23C(=O)OCOC(C)=O)cc1
CHEMBL4167271,Ki,23000.0,nM,CC(=O)OCOC(=O)c1ccc(C(Cl)=CC2C=C(C)CC3CC(CC(=O)NCc4ccc(Cl)cc4)C=CC23C(=O)OCOC(C)=O)cc1
CHEMBL1689139,IC50,8.7,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ncnc3cc(N4CCN(Cc5ccccc5-c5ccc(Cl)cc5)CC4)ccc23)cc1[N+](=O)[O-]
CHEMBL1689140,IC50,21.0,nM,O=[N+]([O-])c1cc(S(=O)(=O)Nc2ncnc3cc(N4CCN(Cc5ccccc5-c5ccc(Cl)cc5)CC4)ccc23)ccc1NC(CCN1CCOCC1)CSc1ccccc1
CHEMBL3799447,Ki,140.0,nM,CC(C)Oc1ccc(C(=O)Nc2c(C(=O)O)nn(-c3ccc(Oc4ccccc4)cc3)c2-c2ccc(OC(C)C)cc2)cc1
CHEMBL3799627,Ki,932.0,nM,CC(C)Oc1ccc(-c2cc(C(=O)O)nn2-c2ccc(Oc3ccccc3)cc2)cc1
CHEMBL2030855,IC50,7.0,nM,CCCCc1c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2CCc3ccccc3C2)c(CO)nn1-c1ccc(-c2ccccc2)cc1
CHEMBL2030860,IC50,24.0,nM,CCCCc1c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2Cc3ccccc3CC2CN)c(CO)nn1-c1ccccc1
CHEMBL2030866,IC50,120.0,nM,CCCCN(CCCC)c1nccc(-c2ccc(C(=O)NS(=O)(=O)c3ccc4cccc(Cl)c4c3)cc2C(=O)N2CCc3ccccc3C2)n1
CHEMBL2031010,IC50,35.0,nM,O=C(c1ccc(CN(Cc2ccc(F)cc2)S(=O)(=O)c2cc(Cl)cc(Cl)c2O)cc1)N(Cc1ccc(F)cc1)Cc1cc(Cl)cc(Cl)c1
CHEMBL2031011,IC50,910.0,nM,CCCCN(CCCC)C(=O)c1nn(-c2ccc(NS(=O)(=O)c3cc(Cl)cc(Cl)c3O)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl
CHEMBL2031015,IC50,400.0,nM,CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccc(OCCN5CCOCC5)cc4c3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl
CHEMBL2031027,IC50,9.0,nM,CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2Cc3ccccc3CC2CN)c(C)c1Cl
CHEMBL151,Inhibition,46.0,%,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
CHEMBL2030849,IC50,140.0,nM,CCCCc1c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2CCc3ccccc3C2)c(C(=O)OCC)nn1-c1cccc(Oc2ccccc2)c1
CHEMBL2030850,IC50,100.0,nM,CCCCc1c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2CCc3ccccc3C2)c(C(=O)OCC)nn1-c1ccc(Oc2ccccc2)cc1
CHEMBL2030851,IC50,130.0,nM,CCCCc1c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2CCc3ccccc3C2)c(CO)nn1-c1ccc(Oc2ccccc2)cc1
CHEMBL221805,Ki,1.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccccc4-c4ccccc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL376659,EC50,250.0,nM,COc1ccccc1C=C1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL221708,Ki,46.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccccn4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL218524,Ki,1.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccccc4Cl)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL266944,EC50,20000.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(S(C)(=O)=O)cc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL218408,EC50,1100.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4cccc(Cl)c4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL389660,Ki,340.0,nM,Cc1oc2c(CC(C)C)c(O)c(O)c(O)c2c(=O)c1-c1ccccc1
CHEMBL226678,Ki,730.0,nM,Cc1cc(=O)c2c(O)c(O)c(O)c(CC(C)C)c2o1
CHEMBL2030864,IC50,6.0,nM,CCCCc1c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4cccc(Cl)c4c3)cc2C(=O)N2CCc3ccccc3C2)c(CO)nn1-c1ccc(Oc2cccc(Cl)c2)cc1
CHEMBL2031017,IC50,35.0,nM,CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4cccc(I)c4c3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl
CHEMBL2031028,IC50,140.0,nM,CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2Cc3ccccc3CC2CN2CCN(C)CC2)c(C)c1Cl
CHEMBL3401817,Ki,360.0,nM,O=C(NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(Cc1ccc(Br)cc1)N1C(=O)C(=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)SC1=S
CHEMBL2030845,IC50,660.0,nM,CCCCc1c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2CCc3ccccc3C2)c(C(=O)OCC)nn1-c1ccccc1
CHEMBL2398173,IC50,10000.0,nM,O=C(O)c1cccc(-c2ccc3c(c2)C(=NNc2nc4ccccc4s2)CCC3)n1
CHEMBL500574,IC50,150.0,nM,Cc1cc(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2CC1CN(C)C
CHEMBL509208,IC50,20.0,nM,CCCCN(CCCC)C(=O)c1cc(C)n(-c2ccc(OCC(=O)c3ccccc3)cc2C(=O)N2CCc3ccccc3C2)n1
CHEMBL460173,IC50,480.0,nM,Cc1c(Cl)c(C(=O)N(c2ccccc2)c2ccccc2)nn1-c1ccccc1C(=O)N1Cc2ccccc2CC1CO
CHEMBL346119,Ki,691.83,nM,O=c1c(O)cc(C2Oc3cc(O)cc(O)c3CC2O)cc2c(C3Oc4cc(O)cc(O)c4CC3O)cc(O)c(O)c12
CHEMBL376408,Ki,1.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL4470807,IC50,2310.0,nM,N#CC1=C(C#N)c2ccc(Sc3ccc(Br)cc3)c3cccc(c23)C1=O
CHEMBL4572365,IC50,9710.0,nM,N#CC1=C(NCCC(=O)NCCCCNc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)c2ccc(Sc3ccc(Br)cc3)c3cccc(c23)C1=O
CHEMBL2374449,GI50,21000.0,nM,CCSCCCCC(c1ccc(O)cc1)C(C)(CC)c1ccc(O)cc1
CHEMBL384519,Ki,210000.0,nM,CCOC(=O)C1=C(N)Oc2ccc(CC)cc2C1C(C#N)C(=O)OCC
CHEMBL3137309,Ki,0.01,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL4442085,Ki,51000.0,nM,CCc1sc2nc(S(C)(=O)=O)nc(NC(C)C(=O)O)c2c1-c1cccc(Oc2ccc(F)cc2)c1
CHEMBL4450405,Ki,28000.0,nM,CCc1sc2ncnc(NC(C)C(=O)O)c2c1-c1ccc2[nH]ccc2c1
CHEMBL2063882,Ki,2.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(c4cccc(-c5c(-c6ccc(Cl)cc6)cn(CCC(O)CO)c5C(=O)NCCCN5CCN(C)CC5)c4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL376408,Ki,1.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL4471126,Ki,5000.0,nM,COc1ccc2c(c1)c(CC(=O)NC(Cc1ccccc1)C(=O)NS(=O)(=O)c1ccc(Br)cc1)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL4474182,Ki,5000.0,nM,COc1ccc(CC(NC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)C(=O)NS(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1
CHEMBL4468354,Ki,5000.0,nM,COc1ccc2c(c1)c(CC(=O)NC(Cc1ccc(OC(C)C)cc1)C(=O)NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL4528136,Ki,480.0,nM,COc1cccc(COc2ccc(CC(NC(=O)Cc3c(C)n(C(=O)c4ccc(Cl)cc4)c4ccc(OC)cc34)C(=O)NS(=O)(=O)c3ccc(Cl)c([N+](=O)[O-])c3)cc2)c1
CHEMBL3342191,Ki,90.0,nM,O=C(Nc1nc2ccccc2s1)c1cccc2c1CN(c1nc(C(=O)O)c(CCOc3ccc(-n4ncc5cncnc54)cc3)s1)CC2
CHEMBL3342196,Ki,140.0,nM,CN1CCN(CCCNc2ncnc3c2cnn3-c2ccc(OCCCc3sc(N4CCc5cccc(C(=O)Nc6nc7ccccc7s6)c5C4)nc3C(=O)O)cc2)CC1
CHEMBL3342197,Ki,60.0,nM,CN(C)CC#Cc1ccc(OCCCc2sc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)cc1
CHEMBL3342334,Ki,90.0,nM,CN(C)CC#Cc1cc(F)c(OCCCc2sc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)cc1F
CHEMBL2398292,IC50,10000.0,nM,CC(=NNc1nc2ccccc2s1)c1ccc(-c2cccc(C(=O)O)c2)o1
CHEMBL2063892,IC50,0.6,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(N3CCN(c4cccc(-c5c(-c6ccc(Cl)cc6)cn(C)c5C(=O)NCCCN5CCN(C)CC5)c4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL3972115,Ki,0.023,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OC5CCN(C(CF)CF)C5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL3924773,Ki,0.01,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OCC5CCC(OP(=O)(O)O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL3629839,Ki,10000.0,nM,O=C(O)c1ccc(COc2ccc(C=C3SC(=S)N(c4ccc([N+](=O)[O-])cc4)C3=O)cc2)cc1
CHEMBL3629842,Ki,3100.0,nM,O=C(O)c1ccc([N+](=O)[O-])c(COc2ccc(C=C3SC(=S)N(c4ccc([N+](=O)[O-])cc4)C3=O)cc2)c1
CHEMBL1269506,Ki,110.0,nM,CC(C)(C)c1ccc(C(O)(CCN2CCOCC2)c2ccc(Cl)c(CCOc3ccc(-c4ccc(C(=O)O)cc4)cc3)c2)cc1
CHEMBL480009,IC50,1900.0,nM,CCN(C(=O)c1cc(C)n(-c2ccccc2C(=O)N2CCc3ccccc3C2)n1)c1ccccc1
