Molecule ChEMBL ID,Standard Type,Standard_Value,Standard Units,canon_smiles
CHEMBL264938,Ki,235.0,nM,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
CHEMBL379173,IC50,50000.0,nM,CC(C)(C)CC1NC(C(=O)NCCN2CCOCC2)C(c2cccc(Cl)c2F)C12C(=O)Nc1cc(Cl)ccc12
CHEMBL344184,IC50,4000.0,nM,COc1ccc2c(c1)CCc1cc(OC)ccc1[N+]([O-])=[N+]2[O-]
CHEMBL1098324,IC50,3200.0,nM,COc1ccc(C2C3=C(N=c4sc(=Cc5ccc(OCc6cccc(C(=O)O)c6)c(OC)c5)c(=O)n42)c2ccccc2CC3)cc1
CHEMBL2314177,Ki,960.0,nM,O=C(O)c1sc2cc(Cl)ccc2c1CCCOc1cccc2ccccc12
CHEMBL2314503,Ki,7400.0,nM,Cc1cc(OCCCc2c(C(=O)O)n(C)c3ccccc23)cc(C)c1Cl
CHEMBL2314209,Ki,870.0,nM,Cc1cc(OCCCc2c(C(=O)O)[nH]c3cc(Cl)ccc23)cc(C)c1Cl
CHEMBL1612421,Ki,1000000.0,nM,O=C(O)c1sc2cccc(Cl)c2c1Cl
CHEMBL380709,Ki,70.0,nM,COc1cc(CCCN2CCOCC2)ccc1-c1ccc(C(=O)NS(=O)(=O)c2ccc(NC(CCCCN)CSc3ccccc3)c([N+](=O)[O-])c2)cc1
CHEMBL378820,Ki,732.0,nM,CC1(C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN4CCOCC4)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL201669,Ki,4570.0,nM,COc1cc(CN(C)C)ccc1-c1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1
CHEMBL217223,Ki,930.0,nM,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)c1cc(Cc2ccccc2)c(O)c(O)c1O
CHEMBL2322026,Kd,8.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2nnc3cc(N4CCN(Cc5ccccc5-c5ccc(Cl)cc5)CC4)cnn23)cc1[N+](=O)[O-]
CHEMBL437148,Ki,4.6,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4S(C)(=O)=O)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL1940670,Ki,1400.0,nM,O=C(Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1)c1cccc(F)c1
CHEMBL242340,Ki,1950.0,nM,CC(C)CC(C(=O)O)N1C(=O)C(=C(c2ccccc2)c2ccc(-c3ccccc3)cc2)SC1=S
CHEMBL3401826,Ki,940.0,nM,Cc1ccc(S(=O)(=O)NC(=O)C(Cc2ccccc2)N2C(=O)C(=Cc3ccc(-c4ccccc4)cc3)SC2=S)cc1
CHEMBL2312474,Kd,323.59,nM,CCCCNC1=C2C(=NC1=O)c1cccc3c(Oc4ccc(C(C)C)cc4)ccc2c13
CHEMBL4083870,Ki,140.0,nM,Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)c(Cl)ccc24)CCCN(c2cccc4c(C(=O)O)cn(C)c24)C3=O)cc(C)c1Cl
CHEMBL405280,AC3,2.2,uM,COC(=O)NC1C(C)OC(OC2CC=C(C)C3C=CC4C(OC5CC(OC6CCC(OC7CC(O)C(OC8CCC(O)C(C)O8)C(C)O7)C(C)O6)C(OC(C)=O)C(C)O5)C(C)CC(C)C4C3(C)C(O)=C3C(=O)OC4(CC(C=O)=CC(O)C4C=C2C)C3=O)CC1(C)[N+](=O)[O-]
CHEMBL404644,Ki,226000.0,nM,CCOC(=O)C(Cc1ccccc1)N1C(=O)C(=Cc2ccc(OCOc3ccc(C=C4SC(=S)N(C(Cc5ccccc5)C(=O)OCC)C4=O)cc3)cc2)SC1=S
CHEMBL404899,Ki,1700.0,nM,O=C(O)C(Cc1ccccc1)N1C(=O)C(=Cc2ccc(OCCOc3ccc(C=C4SC(=S)N(C(Cc5ccccc5)C(=O)O)C4=O)cc3)cc2)SC1=S
CHEMBL137135,IC50,9000.0,nM,CCOC(=O)C(C#N)C1c2cc(Br)ccc2OC(N)C1C(=O)OCC
CHEMBL352815,AC3,8.4,uM,COC(=O)NC1C(C)OC(OC2CC=C(C)C3C=CC4C(O)C(C)CC(C)C4C3(C)C(O)=C3C(=O)OC4(CC(C=O)=CC(OC(C)=O)C4C=C2C)C3=O)CC1(C)[N+](=O)[O-]
CHEMBL2374449,Ki,169000.0,nM,CCSCCCCC(c1ccc(O)cc1)C(C)(CC)c1ccc(O)cc1
CHEMBL371861,IC50,93.0,nM,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)c([N+](=O)[O-])c1)c1ccc(-c2ccc(F)cc2)cc1
CHEMBL2314172,Ki,15000.0,nM,O=C(O)c1c(CCCOc2cccc3ccccc23)c2ccccc2n1Cc1ccccc1
CHEMBL2314198,Ki,2700.0,nM,O=C(O)c1[nH]c2ccccc2c1CCCOc1cccc2ccccc12
CHEMBL2314512,Ki,1000000.0,nM,Cc1cc(OCCC(=O)O)cc(C)c1Cl
CHEMBL2314523,Ki,1000000.0,nM,Cc1ccc2c(Cl)c(C(=O)O)sc2c1
CHEMBL406949,AC3,10.0,uM,COCCOCCOCC(=O)OC1C(C)CC(C)C2C1C=CC1C(C)=CCC(OC3CC(C)([N+](=O)[O-])C(NC(=O)OC)C(C)O3)C(C)=CC3C(O)C=C(C=O)CC34OC(O)=C(C4=O)C(=O)C12C
CHEMBL192032,Ki,583.0,nM,O=C1c2ccccc2C(=O)c2c1cc(O)c(O)c2O
CHEMBL4170660,Ki,23000.0,nM,COC(=O)c1ccc(C(Cl)=CC2C=C(C)CC3CC(CC(=O)Nc4cccnc4)C=CC23C(=O)OC)cc1
CHEMBL366973,AC3,10.0,uM,COC(=O)NC1C(C)OC(OC2CC=C(C)C3C=CC4C(O)C(C)CC(C)C4C3(C)C(O)=C3C(=O)OC4(CC(C=O)=CC(O)C4C=C2C)C3=O)CC1(C)[N+](=O)[O-]
CHEMBL334590,IC50,3300.0,nM,Cc1cc(Cl)cc(C(=O)Nc2cc(S(=O)(=O)c3ccc(Cl)cc3)ccc2Cl)c1O
CHEMBL3311488,IC50,19.0,nM,O=C(NS(=O)(=O)c1ccc(NC(CCN2CCOCC2)CSc2ccccc2)c(S(=O)(=O)C(F)(F)F)c1)c1ccc(N2CCC([S+]([O-])c3ccccc3-c3ccc(Cl)cc3)CC2)cc1
CHEMBL1269110,IC50,340.0,nM,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3Cc3ccc(Cl)cc3)C2=O)C(=O)c2cc(O)c(O)c(Cc3ccc(Cl)cc3)c2C1=O
CHEMBL4518809,Ki,9000.0,nM,COC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OC
CHEMBL551288,Ki,640.0,nM,Cc1cc2c(C(C)C)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)cc2c1O
CHEMBL3828055,Inhibition,100.0,%,COc1cc(O)c2c(=O)cc(-c3cc(O)c(O)cc3Cc3ccccc3)oc2c1
