Molecule ChEMBL ID,Standard_Value,Standard Units,Standard Type,canon_smiles,pIC50
CHEMBL3653312,38.0,nM,IC50,O=c1[nH]c(-c2cc3nc(N4CCOC5CCCC54)n(CC4CCC(C(F)(F)F)CC4)c3c(-c3cncc(Cl)c3)n2)no1,7.42021640338319
CHEMBL3691761,0.408,nM,IC50,CNc1ncc(-n2nc3c(c2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(Cl)c[nH]c2=O)C3=O)c(OC)n1,9.38933983691012
CHEMBL3691793,0.1639999999999999,nM,IC50,COc1nc(N(C)C)ncc1-n1nc2c(c1C(C)C)C(c1ccc(Cl)c(F)c1)N(c1c[nH]c(=O)c(Cl)c1)C2=O,9.785156151952302
CHEMBL1688254,2300.0,nM,IC50,O=C1c2ccccc2C(OC2C=CC(O)C2)(c2ccc(Cl)cc2)N1Cc1ccccc1,5.638272163982407
CHEMBL1688274,298.0,nM,IC50,O=C1c2ccccc2C(OCC2(CO)CC2)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,6.525783735923745
CHEMBL3675213,1620.0,nM,IC50,N#Cc1ccc(CN2C(=O)c3cccc(Cl)c3C2(O)c2ccc(Cl)cc2)cc1,5.790484985457369
CHEMBL3649961,18.0,nM,IC50,CCOC(C)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1CC1CCC(C)CC1,7.7447274948966935
CHEMBL3665587,3000.0,nM,IC50,CC(C)(C)CC1NC(C(=O)NC2CC(C)(O)C2)C(c2cccc(Cl)c2)C12C(=O)Nc1cc(F)c(F)cc12,5.522878745280337
CHEMBL3654194,70.0,nM,IC50,CC1CCC(Cn2c(N3CCOCC3c3ccccc3)nc3cc(-c4cccc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,7.154901959985743
CHEMBL3647049,3.0,nM,IC50,CC1CCC(Cn2c(N3CCOCC3c3ccccc3)nc3cc(-c4noc(=O)[nH]4)nc(-c4cccc(Cl)c4)c32)CC1,8.522878745280337
CHEMBL3233130,2.0,nM,IC50,CCC(CS(=O)(=O)C(C)(C)C)N1C(=O)C(CC(=O)O)OC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,8.698970004336019
CHEMBL3649824,9.0,nM,IC50,CC1CCC(Cn2c(N3CCC(C)C3C)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,8.045757490560675
CHEMBL3653319,1.0,nM,IC50,COc1ncc(Cl)cc1-c1nc(-c2noc(=O)[nH]2)cc2nc(N3CCOC4CCCC43)n(CC3CCC(C)CC3)c12,9.0
CHEMBL3233594,10000.0,nM,IC50,COCCOc1ccccc1N1CCN(C(=O)C2(Oc3ccc(C(F)(F)F)cc3)CCC(c3ccccc3)N(C(=O)c3cnccc3C(F)(F)F)C2)CC1,5.0
CHEMBL3219399,60000.0,nM,IC50,O=C(O)C1c2ccccc2C(=O)N(Cc2ccc(Cl)cc2)C1c1ccc(Cl)cc1,4.221848749616356
CHEMBL3219401,11500.0,nM,IC50,CN1CCN(CCNC(=O)C2c3ccccc3C(=O)N(Cc3ccc(Cl)cc3)C2c2c[nH]c3cc(Cl)ccc23)CC1,4.939302159646388
CHEMBL3691737,0.161,nM,IC50,COc1ccccc1-n1nc2c(c1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,9.79317412396815
CHEMBL4114738,5000.0,nM,IC50,O=C(NC1CCC(O)CC1)C1NC(C=C2CCCC2)C2(C(=O)Nc3cc(Cl)ccc32)C1c1cccc(Cl)c1F,5.301029995663981
CHEMBL3653294,0.36,nM,IC50,COc1nc(N)ncc1-c1nc2c(n1C(C)C)C(c1ccc(C#N)cc1)N(c1cccc(Cl)c1F)C2=O,9.443697499232712
CHEMBL3687289,6.7,nM,IC50,COc1ccccc1-n1nc2c(c1C(C)C)C(c1ccc(F)cc1)N(c1cccc(Cl)c1F)C2=O,8.173925197299173
CHEMBL1688155,100000.0,nM,IC50,C[S+]([O-])c1ccc(CN2C(=O)c3ccccc3C2(O)c2ccc(Cl)cc2)cc1,4.0
CHEMBL3691720,1.8,nM,IC50,COc1ccccc1-n1nc2c(c1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)ccc1OCc1nn[nH]n1)C2=O,8.744727494896694
CHEMBL1688142,15000.0,nM,IC50,Cc1ccc(CN2C(=O)c3ccccc3C2(O)c2ccc(Cl)cc2)cc1,4.823908740944319
CHEMBL3627748,5660.0,nM,IC50,COc1ccc(-c2cn(CCCC(NC(=O)OCC3c4ccccc4-c4ccccc43)C(=O)O)nn2)cc1,5.247183568811729
CHEMBL3233134,10.0,nM,IC50,CCC(CS(=O)(=O)N(C)C)N1C(=O)C(CC(=O)O)OC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,8.0
CHEMBL3233138,2.5,nM,IC50,CC(C)C(CS(=O)(=O)C(C)(C)C)N1C(=O)C(CC(=O)O)OC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,8.602059991327963
CHEMBL3233140,1.8,nM,IC50,CC(C)(C)S(=O)(=O)CC(C1CC1)N1C(=O)C(CC(=O)O)OC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,8.744727494896694
